datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
22/05/2023,30.1,13.1,18.3,30.1,13.1,18.3,12.1,70.7,0.7,100,12.5,rain,0,0,18.7,14.8,50.4,1022.3,81.5,9.9,147.8,12.7,10,10,2024-06-25T06:00:28,2024-06-25T19:18:22,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
23/05/2023,33,10.1,19.7,32.2,10.1,19.7,10.8,59.1,0.024,100,8.33,rain,0,0,15.1,29.4,344.9,1018.6,82.7,13.4,218.7,19,10,10,2024-06-26T06:00:44,2024-06-26T19:18:30,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
24/05/2023,29.1,12,19.8,29.2,12,19.7,10.4,60.3,0.5,100,4.17,rain,0,0,27,21.6,8.1,1019.8,77.6,10.4,188.6,16.1,9,10,2024-06-27T06:01:00,2024-06-27T19:18:38,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
25/05/2023,27,14.9,20.9,26.2,14.9,20.8,9.3,51.7,0.4,100,4.17,rain,0,0,19.8,25.9,0.5,1016,63.2,13.9,207.5,17.8,9,10,2024-06-28T06:01:18,2024-06-28T19:18:44,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
26/05/2023,27.1,12.1,20.4,27.6,12.1,20.4,9.7,53.8,0,0,0,rain,0,0,24.5,29.5,35.7,1017.4,86.1,13.6,340.3,29.4,10,10,2024-06-29T06:01:35,2024-06-29T19:18:50,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
27/05/2023,27.1,12.1,20.3,26.2,12.1,20.3,8.2,48.1,0.5,100,4.17,rain,0,0,14.8,18,59.5,1020.1,79.3,14.3,353.5,30.3,10,10,2024-06-30T06:01:54,2024-06-30T19:18:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
28/05/2023,28,8.1,17.9,28,6.8,17.8,10.3,63.1,1.3,100,4.17,rain,0,0,20.2,22.3,31.6,1021.6,74,12.5,205.7,17.7,10,10,2024-07-01T06:02:12,2024-07-01T19:18:59,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
29/05/2023,30.1,9.1,17.5,29.8,9.1,17.5,9.4,60.4,1.5,100,4.17,rain,0,0,19.8,28.4,130.7,1020.9,58.5,14.1,205.1,17.8,10,10,2024-07-02T06:02:31,2024-07-02T19:19:02,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
30/05/2023,30.1,9.1,19.5,29.5,9.1,19.4,7.3,50.3,0,0,0,,0,0,20.9,20.5,349.9,1017.6,31.7,13.6,351.2,30.4,10,10,2024-07-03T06:02:51,2024-07-03T19:19:04,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
31/05/2023,27,12.1,21,26.9,12.1,20.9,10.2,53.2,0,0,0,rain,0,0,90,18,21.8,1012.4,44.9,10.5,302.6,25.9,10,10,2024-07-04T06:03:10,2024-07-04T19:19:05,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
